Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
EGY,2012-01-01,2014-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20122014,2014,%,64,E,
EGY,2013-01-01,2015-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20132015,2015,%,64,E,
EGY,2014-01-01,2016-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20142016,2016,%,64,E,
EGY,2015-01-01,2017-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20152017,2017,%,64,E,
EGY,2016-01-01,2018-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20162018,2018,%,64,E,
EGY,2017-01-01,2019-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20172019,2019,%,64,E,
EGY,2018-01-01,2020-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20182020,2020,%,64,E,
EGY,2019-01-01,2021-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20192021,2021,%,64,E,
EGY,2020-01-01,2022-12-31,59,'818,Egypt,21012,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",6121,Value,20202022,2022,%,64,E,
EGY,2000-01-01,2002-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,95.1,E,
EGY,2001-01-01,2003-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,95.4,E,
EGY,2002-01-01,2004-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,95,E,
EGY,2003-01-01,2005-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,95,E,
EGY,2004-01-01,2006-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,95.9,E,
EGY,2005-01-01,2007-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,98.2,E,
EGY,2006-01-01,2008-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,99.6,E,
EGY,2007-01-01,2009-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,99.9,E,
EGY,2008-01-01,2010-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,98.5,E,
EGY,2009-01-01,2011-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,96.3,E,
EGY,2010-01-01,2012-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,94.8,E,
EGY,2011-01-01,2013-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,94.1,E,
EGY,2012-01-01,2014-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,94.2,E,
EGY,2013-01-01,2015-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,93.9,E,
EGY,2014-01-01,2016-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,93.3,E,
EGY,2015-01-01,2017-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,93.1,E,
EGY,2016-01-01,2018-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,92.9,E,
EGY,2017-01-01,2019-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,93.2,E,
EGY,2018-01-01,2020-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,93.2,E,
EGY,2019-01-01,2021-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,92.7,E,
EGY,2020-01-01,2022-12-31,59,'818,Egypt,21013,Average protein supply (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,92.5,E,
EGY,2000-01-01,2002-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20002002,2002,g/cap/d,18.4,E,
EGY,2001-01-01,2003-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20012003,2003,g/cap/d,18.7,E,
EGY,2002-01-01,2004-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20022004,2004,g/cap/d,19.1,E,
EGY,2003-01-01,2005-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20032005,2005,g/cap/d,19.5,E,
EGY,2004-01-01,2006-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20042006,2006,g/cap/d,20.1,E,
EGY,2005-01-01,2007-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20052007,2007,g/cap/d,21.7,E,
EGY,2006-01-01,2008-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20062008,2008,g/cap/d,22.7,E,
EGY,2007-01-01,2009-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20072009,2009,g/cap/d,22.6,E,
EGY,2008-01-01,2010-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20082010,2010,g/cap/d,23.2,E,
EGY,2009-01-01,2011-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20092011,2011,g/cap/d,23.8,E,
EGY,2010-01-01,2012-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20102012,2012,g/cap/d,25.3,E,
EGY,2011-01-01,2013-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20112013,2013,g/cap/d,25.6,E,
EGY,2012-01-01,2014-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20122014,2014,g/cap/d,26.4,E,
EGY,2013-01-01,2015-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20132015,2015,g/cap/d,26.7,E,
EGY,2014-01-01,2016-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20142016,2016,g/cap/d,26.6,E,
EGY,2015-01-01,2017-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20152017,2017,g/cap/d,26.7,E,
EGY,2016-01-01,2018-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20162018,2018,g/cap/d,27.3,E,
EGY,2017-01-01,2019-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20172019,2019,g/cap/d,28.1,E,
EGY,2018-01-01,2020-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20182020,2020,g/cap/d,28.5,E,
EGY,2019-01-01,2021-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20192021,2021,g/cap/d,28.6,E,
EGY,2020-01-01,2022-12-31,59,'818,Egypt,21014,Average supply of protein of animal origin (g/cap/day) (3-year average),6123,Value,20202022,2022,g/cap/d,28.7,E,
EGY,2000-01-01,2000-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2000,2000,km,0.5,X,
EGY,2001-01-01,2001-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2001,2001,km,0.5,X,
EGY,2002-01-01,2002-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2002,2002,km,0.5,X,
EGY,2003-01-01,2003-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2003,2003,km,0.5,X,
EGY,2004-01-01,2004-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2004,2004,km,0.5,X,
EGY,2005-01-01,2005-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2005,2005,km,0.5,X,
EGY,2006-01-01,2006-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2006,2006,km,0.5,X,
EGY,2007-01-01,2007-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2007,2007,km,0.5,X,
EGY,2008-01-01,2008-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2008,2008,km,0.5,X,
EGY,2009-01-01,2009-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2009,2009,km,0.5,X,
EGY,2010-01-01,2010-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2010,2010,km,0.5,X,
EGY,2015-01-01,2015-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2015,2015,km,0.5,X,
EGY,2016-01-01,2016-12-31,59,'818,Egypt,21016,Rail lines density (total route in km per 100 square km of land area),6124,Value,2016,2016,km,0.5,X,
EGY,2000-01-01,2000-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2000,2000,Int$/cap,9982,X,
EGY,2001-01-01,2001-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2001,2001,Int$/cap,10117,X,
EGY,2002-01-01,2002-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2002,2002,Int$/cap,10144,X,
EGY,2003-01-01,2003-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2003,2003,Int$/cap,10250,X,
EGY,2004-01-01,2004-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2004,2004,Int$/cap,10452,X,
EGY,2005-01-01,2005-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2005,2005,Int$/cap,10701,X,
EGY,2006-01-01,2006-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2006,2006,Int$/cap,11212,X,
EGY,2007-01-01,2007-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2007,2007,Int$/cap,11782,X,
EGY,2008-01-01,2008-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2008,2008,Int$/cap,12392,X,
EGY,2009-01-01,2009-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2009,2009,Int$/cap,12728,X,
EGY,2010-01-01,2010-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2010,2010,Int$/cap,13129,X,
EGY,2011-01-01,2011-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2011,2011,Int$/cap,13082,X,
EGY,2012-01-01,2012-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2012,2012,Int$/cap,13077,X,
EGY,2013-01-01,2013-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2013,2013,Int$/cap,13058,X,
EGY,2014-01-01,2014-12-31,59,'818,Egypt,22013,"Gross domestic product per capita, PPP, (constant 2021 international $)",6126,Value,2014,2014,Int$/cap,13136,X,
